X Y
-94.61737874341024 0.0
-94.2477796076938 0.0
-93.87818047197734 0.0
-93.5085813362609 0.0
-93.13898220054446 0.0
-92.769383064828 3.478710962049445e-33
-92.39978392911156 8.696777405123612e-34
-92.03018479339512 4.891937290382032e-34
-91.66058565767867 9.817846367502827e-34
-91.29098652196222 3.397178673876411e-36
-90.92138738624578 7.3909868523523665e-34
-90.55178825052933 3.1064279522176915e-34
-90.18218911481289 4.7905527393335326e-34
-89.81258997909644 3.6429894533458426e-34
-89.44299084337999 8.734771667315894e-34
-89.07339170766355 1.3210942387868198e-34
-88.7037925719471 1.8786015496754916e-34
-88.33419343623066 7.757506104217673e-34
-87.96459430051421 6.103987429841362e-35
-87.59499516479777 3.8982032277464176e-35
-87.22539602908131 5.787904935952751e-34
-86.85579689336487 1.5353245667438938e-34
-86.48619775764843 2.704149248069675e-34
-86.11659862193198 3.29184622964245e-34
-85.74699948621553 2.6160399025519537e-33
-85.37740035049909 3.397178673876411e-36
-85.00780121478265 5.741231958851134e-34
-84.63820207906619 1.3588714695505644e-35
-84.26860294334975 5.435485878202257e-35
-83.8990038076333 5.435485878202257e-35
-83.52940467191685 5.4354858782022574e-33
-83.15980553620041 3.478710962049445e-33
-82.79020640048397 0.0
-82.42060726476751 1.2614219400756315e-33
-82.05100812905107 2.2654779319299536e-34
-81.68140899333463 4.6426951610183086e-35
-81.31180985761817 2.1086429131274295e-34
-80.94221072190173 3.21958478200261e-34
-80.57261158618529 3.3765908700209e-36
-80.20301245046883 5.586212983067489e-35
-79.83341331475239 3.7447739500849907e-34
-79.46381417903595 2.9101959068328567e-34
-79.0942150433195 3.6646421371897073e-35
-78.72461590760305 9.963458530758765e-35
-78.35501677188661 1.0181793825569212e-34
-77.98541763617015 7.719381364735651e-35
-77.61581850045371 8.547926467081618e-35
-77.24621936473727 6.371117756990518e-33
-76.87662022902083 1.5361387784375528e-34
-76.50702109330437 2.8544456254382794e-33
-76.13742195758793 2.1070188982175442e-33
-75.76782282187148 1.2390089172759452e-34
-75.39822368615503 2.6752497158698386e-34
-75.0286245504386 5.207012009417267e-34
-74.65902541472215 2.745155610792753e-34
-74.2894262790057 1.520772384137813e-34
-73.91982714328925 3.7438308267303813e-35
-73.5502280075728 2.073769142621407e-33
-73.18062887185636 6.395358822814805e-34
-72.81102973613991 1.0870971756404517e-34
-72.44143060042347 3.1840339093634493e-35
-72.07183146470702 5.9385310731025864e-33
-71.70223232899058 1.187706214620517e-32
-71.33263319327412 1.7393554810247227e-33
-70.96303405755768 0.0
-70.59343492184124 6.564898395265989e-34
-70.2238357861248 3.560091148572676e-35
-69.85423665040834 1.4132005914740097e-34
-69.4846375146919 5.939636627003975e-34
-69.11503837897546 3.0956790665698794e-34
-68.745439243259 1.4924760595191479e-33
-68.37584010754256 3.3569596057756775e-33
-68.00624097182612 1.4213217617936508e-33
-67.63664183610966 2.935072686533293e-33
-67.26704270039322 7.207316387614045e-34
-66.89744356467678 2.4552837120204424e-34
-66.52784442896032 6.267196495014564e-37
-66.15824529324388 2.047476157621325e-33
-65.78864615752744 7.84078435735396e-34
-65.419047021811 3.197457928515729e-36
-65.04944788609454 1.3922472834443892e-34
-64.6798487503781 9.237314182855548e-34
-64.31024961466164 1.0844636015513133e-33
-63.9406504789452 1.0057348308521682e-33
-63.57105134322876 2.7835625998719138e-33
-63.20145220751231 1.4107908232905337e-33
-62.83185307179586 3.620627476223316e-34
-62.46225393607942 5.083760144806922e-33
-62.09265480036297 1.1532943929336279e-35
-61.72305566464652 5.158270262746487e-36
-61.35345652893008 2.4051681852930635e-34
-60.98385739321363 1.0884285944608535e-33
-60.614258257497184 7.966712429198459e-34
-60.24465912178074 3.086501044695857e-33
-59.875059986064294 4.817330735140062e-33
-59.505460850347845 2.534426666295112e-33
-59.1358617146314 0.0
-58.766262578914954 1.1720122061253428e-32
-58.396663443198506 1.216162353043518e-34
-58.027064307482064 3.4277752881752014e-34
-57.657465171765615 7.140678176251084e-35
-57.287866036049174 2.0308298055357012e-33
-56.918266900332725 2.5570191274453027e-37
-56.548667764616276 4.571711989193993e-34
-56.179068628899834 1.2353741602299027e-33
-55.809469493183386 6.002750016988067e-35
-55.43987035746694 2.8745392366733263e-36
-55.070271221750495 2.0456554012535236e-33
-54.70067208603405 4.550797904298232e-34
-54.3310729503176 3.213121208820995e-35
-53.961473814601156 1.5394923986778172e-34
-53.59187467888471 4.931784686126153e-33
-53.22227554316826 1.846764341325052e-34
-52.85267640745182 4.8248368003110546e-33
-52.48307727173537 2.8353838571693117e-34
-52.11347813601892 1.6263288730207854e-33
-51.74387900030248 4.632714896756329e-34
-51.37427986458603 1.5478395332849397e-34
-51.00468072886958 1.6944755658878082e-34
-50.63508159315314 2.9064986791683868e-33
-50.26548245743669 1.9109130040554811e-34
-49.89588332172025 1.222984322595508e-34
-49.5262841860038 0.0
-49.15668505028735 5.4354858782022574e-33
-48.78708591457091 8.696777405123612e-34
-48.41748677885446 8.696777405123612e-34
-48.04788764313801 3.478710962049445e-33
-47.67828850742157 5.565937539279112e-32
-47.30868937170512 0.0
-46.93909023598867 1.4353079897127836e-34
-46.56949110027223 3.186182029678618e-35
-46.19989196455578 7.643652016221925e-36
-45.83029282883933 2.569116372119036e-35
-45.46069369312289 4.492768796201553e-34
-45.09109455740644 6.879286814599732e-35
-44.721495421689994 8.492946684691027e-35
-44.35189628597355 5.606671834815561e-35
-43.982297150257104 1.9478674821531144e-33
