X Y
-50.0 3.0012474729085177e-07
-49.8046875 1.109020845223612e-06
-49.609375 3.507177957334188e-07
-49.4140625 5.363802899987921e-07
-49.21875 3.541516479158436e-07
-49.0234375 3.017469364417611e-07
-48.828125 1.0389102911426465e-07
-48.6328125 1.451266474694668e-07
-48.4375 5.704846857817328e-08
-48.2421875 1.0275586359611257e-07
-48.046875 6.318404621810856e-09
-47.8515625 1.3431320281248116e-07
-47.65625 2.9006678176155773e-09
-47.4609375 1.221564532674223e-07
-47.265625 5.6630151581924454e-09
-47.0703125 1.0673008805095637e-07
-46.875 1.354048688774365e-08
-46.6796875 8.769833366482431e-08
-46.484375 2.6226537285201666e-08
-46.2890625 7.093410427625662e-08
-46.09375 3.998840394517393e-08
-45.8984375 5.38429662745753e-08
-45.703125 5.38306935304286e-08
-45.5078125 3.7552215465579524e-08
-45.3125 6.636949032887929e-08
-45.1171875 2.589019506324955e-08
-44.921875 7.45366779981766e-08
-44.7265625 1.7572500068032804e-08
-44.53125 7.958249280814088e-08
-44.3359375 1.5187743148714578e-08
-44.140625 7.853935824567943e-08
-43.9453125 1.724722143614198e-08
-43.75 7.437608610133768e-08
-43.5546875 2.3874476596963548e-08
-43.359375 6.552831187286762e-08
-43.1640625 3.368385429641292e-08
-42.96875 5.538503681019398e-08
-42.7734375 4.497169139177052e-08
-42.578125 4.393378869190993e-08
-42.3828125 5.6491406510743116e-08
-42.1875 3.397971918101753e-08
-41.9921875 6.611747310597592e-08
-41.796875 2.622147600498296e-08
-41.6015625 7.304533109068372e-08
-41.40625 2.222001811177052e-08
-41.2109375 7.596589351526694e-08
-41.015625 2.2321386660848295e-08
-40.8203125 7.49176192945361e-08
-40.625 2.661020182146352e-08
-40.4296875 6.997114762511073e-08
-40.234375 3.447767728592963e-08
-40.0390625 6.212184945078872e-08
-39.84375 4.480421513260821e-08
-39.6484375 5.259582206449201e-08
-39.453125 5.617256028015476e-08
-39.2578125 4.2953366702422174e-08
-39.0625 6.697564769311554e-08
-38.8671875 3.477631503170785e-08
-38.671875 7.571657176601597e-08
-38.4765625 2.942556049636122e-08
-38.28125 8.119547382404282e-08
-38.0859375 2.7904917027433138e-08
-37.890625 8.267589166031931e-08
-37.6953125 3.0641196021304195e-08
-37.5 8.003649297383622e-08
-37.3046875 3.746788025559041e-08
-37.109375 7.375238241678653e-08
-36.9140625 4.760269546070146e-08
-36.71875 6.488407375115728e-08
-36.5234375 5.976408581865015e-08
-36.328125 5.490299631356599e-08
-36.1328125 7.234252807278165e-08
-35.9375 4.5507406455674684e-08
-35.7421875 8.362660691428727e-08
-35.546875 3.837010739560442e-08
-35.3515625 9.20545385837464e-08
-35.15625 3.489438604118905e-08
-34.9609375 9.64510962115129e-08
-34.765625 3.5992620437305344e-08
-34.5703125 9.621547467286846e-08
-34.375 4.194314461782896e-08
-34.1796875 9.14341974833354e-08
-33.984375 5.229972569819981e-08
-33.7890625 8.290619192195756e-08
-33.59375 6.596435813578528e-08
-33.3984375 7.203706989613038e-08
-33.203125 8.126485966001242e-08
-33.0078125 6.069986872477681e-08
-32.8125 9.625018684052271e-08
-32.6171875 5.091513406163325e-08
-32.421875 1.0887568995650137e-07
-32.2265625 4.4652525916695544e-08
-32.03125 1.1741705818467868e-07
-31.8359375 4.3406396942089425e-08
-31.640625 1.2061272232904696e-07
-31.4453125 4.810578640297301e-08
-31.25 1.1805010319774796e-07
-31.0546875 5.8745840453657305e-08
-30.859375 1.1006696500012615e-07
-30.6640625 7.455775617049667e-08
-30.46875 9.804396688356442e-08
-30.2734375 9.380838469582007e-08
-30.078125 8.385885196516663e-08
-29.8828125 1.1430775635792712e-07
-29.6875 7.023537103791124e-08
-29.4921875 1.333202042442183e-07
-29.296875 5.953599450337779e-08
-29.1015625 1.484469240058103e-07
-28.90625 5.4618319219390505e-08
-28.7109375 1.572965675030003e-07
-28.515625 5.670176692450412e-08
-28.3203125 1.589099213391432e-07
-28.125 6.74461589532003e-08
-27.9296875 1.5243007825731494e-07
-27.734375 8.554575704345672e-08
-27.5390625 1.396349578084086e-07
-27.34375 1.1080574092220012e-07
-27.1484375 1.2138992299607905e-07
-26.953125 1.3907926268004521e-07
-26.7578125 1.0246861140303525e-07
-26.5625 1.6886701461255665e-07
-26.3671875 8.422339681147073e-08
-26.171875 1.94269774638479e-07
-25.9765625 7.342924824756963e-08
-25.78125 2.1421168765714835e-07
-25.5859375 6.961225817087472e-08
-25.390625 2.230244680023017e-07
-25.1953125 7.975282656828848e-08
-25.0 2.2242774010405278e-07
-24.8046875 9.919145312981261e-08
-24.609375 2.0844136023843468e-07
-24.4140625 1.3358555162433007e-07
-24.21875 1.8801181003523612e-07
-24.0234375 1.727734683087319e-07
-23.828125 1.5779935525057218e-07
-23.6328125 2.2132979584032242e-07
-23.4375 1.3243452334357414e-07
-23.2421875 2.6340312046487903e-07
-23.046875 1.0389924327239664e-07
-22.8515625 3.0628062936168356e-07
-22.65625 9.779852363061974e-08
-22.4609375 3.274208128013954e-07
-22.265625 9.132479371530176e-08
-22.0703125 3.461546582177313e-07
-21.875 1.263951628076291e-07
-21.6796875 3.272148037772051e-07
-21.484375 1.5218731204844103e-07
-21.2890625 3.187327834819728e-07
-21.09375 2.3474709994496485e-07
-20.8984375 2.5636335555652113e-07
-20.703125 2.830671424741596e-07
-20.5078125 2.4243815921630864e-07
-20.3125 3.964785816421383e-07
-20.1171875 1.5318817908725336e-07
-19.921875 4.3712219254343055e-07
-19.7265625 1.7796675444276175e-07
-19.53125 5.460463764931344e-07
-19.3359375 9.00084328839079e-08
-19.140625 5.389294684024458e-07
-18.9453125 2.039491912316902e-07
-18.75 6.093876633751833e-07
-18.5546875 1.3944846648379244e-07
-18.359375 5.235824277254259e-07
-18.1640625 3.773646265587953e-07
-17.96875 5.536953026853335e-07
-17.7734375 3.236308031339493e-07
-17.578125 3.71666226155792e-07
-17.3828125 6.863624890212812e-07
