X Y
-8.5 4.1900931944943974e-32
-8.466796875 7.360100984006365e-32
-8.43359375 1.2899898405195833e-31
-8.400390625 2.255959159080586e-31
-8.3671875 3.936575656386578e-31
-8.333984375 6.854067831761308e-31
-8.30078125 1.1907500818890418e-30
-8.267578125 2.0641215509363686e-30
-8.234375 3.5701983311641524e-30
-8.201171875 6.1615764778402025e-30
-8.16796875 1.0610449196791282e-29
-8.134765625 1.8231320400214187e-29
-8.1015625 3.1256828003109575e-29
-8.068359375 5.34704831950851e-29
-8.03515625 9.126951457070863e-29
-8.001953125 1.5544608871258362e-28
-7.96875 2.641656127066526e-28
-7.935546875 4.479352024202161e-28
-7.90234375 7.5787316766161515e-28
-7.869140625 1.2794410908681083e-27
-7.8359375 2.1551945694610837e-27
-7.802734375 3.622389112697264e-27
-7.76953125 6.074998037083124e-27
-7.736328125 1.0165754332922112e-26
-7.703125 1.6973660246159708e-26
-7.669921875 2.8278334391195394e-26
-7.63671875 4.7008302932101644e-26
-7.603515625 7.797183340022773e-26
-7.5703125 1.2904564296077314e-25
-7.537109375 2.1310388719719265e-25
-7.50390625 3.511412281877243e-25
-7.470703125 5.773174733386304e-25
-7.4375 9.470872867899855e-25
-7.404296875 1.550271409835903e-24
-7.37109375 2.5320244498344624e-24
-7.337890625 4.126391958682793e-24
-7.3046875 6.709891354017376e-24
-7.271484375 1.0886867169491321e-23
-7.23828125 1.76251485627593e-23
-7.205078125 2.84711542886913e-23
-7.171875 4.5890183001670393e-23
-7.138671875 7.380349534926901e-23
-7.10546875 1.184340273868742e-22
-7.072265625 1.8963499798223504e-22
-7.0390625 3.029722911418099e-22
-7.005859375 4.829806784202448e-22
-6.97265625 7.682437389281728e-22
-6.939453125 1.2193004331181303e-21
-6.90625 1.930922543212617e-21
-6.873046875 3.051134860820817e-21
-6.83984375 4.810612565293456e-21
-6.806640625 7.568011527775516e-21
-6.7734375 1.1879703865397377e-20
-6.740234375 1.8606807770918882e-20
-6.70703125 2.9079072703982927e-20
-6.673828125 4.534523551956758e-20
-6.640625 7.055457771126108e-20
-6.607421875 1.0953707962485153e-19
-6.57421875 1.6968347334560864e-19
-6.541015625 2.622770915893765e-19
-6.5078125 4.0450472508115323e-19
-6.474609375 6.22485536815155e-19
-6.44140625 9.558227379800178e-19
-6.408203125 1.4644275022307786e-18
-6.375 2.2387253727661663e-18
-6.341796875 3.414885862739095e-18
-6.30859375 5.1974939220664345e-18
-6.275390625 7.893220113807787e-18
-6.2421875 1.1960707337876325e-17
-6.208984375 1.808430988042795e-17
-6.17578125 2.728283162178925e-17
-6.142578125 4.1069495835817647e-17
-6.109375 6.168672681829291e-17
-6.076171875 9.244991323744202e-17
-6.04296875 1.3824954654265368e-16
-6.009765625 2.062829575149945e-16
-5.9765625 3.071180979484724e-16
-5.943359375 4.562363622506288e-16
-5.91015625 6.762648400079201e-16
-5.876953125 1.0001983811383557e-15
-5.84375 1.476039271321458e-15
-5.810546875 2.17346226161176e-15
-5.77734375 3.193366179911664e-15
-5.744140625 4.681529511044746e-15
-5.7109375 6.848086471371823e-15
-5.677734375 9.99523782287666e-15
-5.64453125 1.4556583458883645e-14
-5.611328125 2.1152816585028693e-14
-5.578125 3.0670395681114996e-14
-5.544921875 4.4372406235540096e-14
-5.51171875 6.405440598875827e-14
-5.478515625 9.226297667039765e-14
-5.4453125 1.326014711392152e-13
-5.412109375 1.9015670738830206e-13
-5.37890625 2.7209300789054116e-13
-5.345703125 3.8847720522465685e-13
-5.3125 5.534216259430613e-13
-5.279296875 7.866637490625844e-13
-5.24609375 1.115744039246783e-12
-5.212890625 1.5790011249465597e-12
-5.1796875 2.229680982965585e-12
-5.146484375 3.1415606345149978e-12
-5.11328125 4.416625638509882e-12
-5.080078125 6.195525635487014e-12
-5.046875 8.67177804825784e-12
-5.013671875 1.2111015928683724e-11
-4.98046875 1.6877006716163628e-11
-4.947265625 2.3466736529994613e-11
-4.9140625 3.2557601096487555e-11
-4.880859375 4.5070722960174455e-11
-4.84765625 6.225569379600458e-11
-4.814453125 8.580370806546542e-11
-4.78125 1.1799822163102123e-10
-4.748046875 1.6191507813300915e-10
-4.71484375 2.2168767656987333e-10
-4.681640625 3.028574322879833e-10
-4.6484375 4.128357955864229e-10
-4.615234375 5.615117947505394e-10
-4.58203125 7.620489099797973e-10
-4.548828125 1.031927617125627e-09
-4.515625 1.3943058548210097e-09
-4.482421875 1.8797898176469282e-09
-4.44921875 2.5287329110055515e-09
-4.416015625 3.3942127082725936e-09
-4.3828125 4.545875902075555e-09
-4.349609375 6.074891456708537e-09
-4.31640625 8.100314773970594e-09
-4.283203125 1.077724349098129e-08
-4.25 1.4307241918567688e-08
-4.216796875 1.8951630156847954e-08
-4.18359375 2.5048380428988448e-08
-4.150390625 3.3033542903763835e-08
-4.1171875 4.346834303296835e-08
-4.083984375 5.707336021807809e-08
-4.05078125 7.477152282492006e-08
-4.017578125 9.774204812659297e-08
-3.984375 1.2748793036598837e-07
-3.951171875 1.6592015043544787e-07
-3.91796875 2.1546246347681228e-07
-3.884765625 2.791814351787755e-07
-3.8515625 3.6094736541931904e-07
-3.818359375 4.656328836391372e-07
-3.78515625 5.993573513001306e-07
-3.751953125 7.697867933471227e-07
-3.71875 9.865009361729046e-07
-3.685546875 1.2614410906412995e-06
-3.65234375 1.6094551246166e-06
-3.619140625 2.048958662215158e-06
-3.5859375 2.6027349709458026e-06
-3.552734375 3.2988997990522514e-06
-3.51953125 4.172061750642789e-06
-3.486328125 5.264713682408309e-06
-3.453125 6.6288961182854135e-06
-3.419921875 8.32817984966647e-06
-3.38671875 1.0440021756024474e-05
-3.353515625 1.3058555474071988e-05
-3.3203125 1.629788688265667e-05
-3.287109375 2.0295973462071905e-05
-3.25390625 2.5219176420009047e-05
-3.220703125 3.126758502078126e-05
-3.1875 3.868122375318477e-05
-3.154296875 4.774726473882715e-05
-3.12109375 5.8808379995201914e-05
-3.087890625 7.227238066406848e-05
-3.0546875 8.862330288788882e-05
-3.021484375 0.00010843411240620366
-2.98828125 0.0001323812118348274
-2.955078125 0.00016126094560784952
-2.921875 0.00019600830726535895
-2.888671875 0.0002377180616508607
-2.85546875 0.0002876685000649175
-2.822265625 0.00034734804886020314
-2.7890625 0.00041848495064587035
-2.755859375 0.0005030802314218482
-2.72265625 0.0006034441557576482
-2.689453125 0.0007222363546926313
-2.65625 0.0008625097864624512
-2.623046875 0.001027758657534243
-2.58984375 0.0012219703898551616
-2.556640625 0.0014496816688145619
-2.5234375 0.0017160385443842408
-2.490234375 0.0020268604845279877
-2.45703125 0.00238870819469257
-2.423828125 0.002808954919616854
-2.390625 0.003295860833655548
-2.357421875 0.003858650003407759
-2.32421875 0.004507589272080357
-2.291015625 0.005254068269472838
-2.2578125 0.006110679595916808
-2.224609375 0.007091298064553322
-2.19140625 0.008211157716074226
-2.158203125 0.009486925146078256
-2.125 0.010936767510604968
-2.091796875 0.012580413403834454
-2.05859375 0.014439204637513303
-2.025390625 0.01653613679900424
-1.9921875 0.018895886329014063
-1.958984375 0.0215448217464605
-1.92578125 0.024510996562313737
-1.892578125 0.027824121372495222
-1.859375 0.031515512607999764
-1.826171875 0.03561801545420147
-1.79296875 0.0401658985364376
-1.759765625 0.045194718110630624
-1.7265625 0.05074114970048221
-1.693359375 0.05684278539040128
-1.66015625 0.06353789531853302
-1.626953125 0.07086515231852872
-1.59375 0.07886331913210262
-1.560546875 0.08757089815542932
-1.52734375 0.09702574428775246
-1.494140625 0.10726464211503037
-1.4609375 0.11832284937789868
-1.427734375 0.1302336094325358
-1.39453125 0.14302763620402514
-1.361328125 0.15673257594143292
-1.328125 0.171372450897178
-1.294921875 0.18696709085383806
-1.26171875 0.20353155919145638
-1.228515625 0.2210755809087517
-1.1953125 0.23960298066280825
-1.162109375 0.25911113945400305
-1.12890625 0.27959047903653206
-1.095703125 0.30102398346108883
-1.0625 0.3233867673375047
-1.029296875 0.346645700425795
-0.99609375 0.37075909801077195
-0.962890625 0.3956764861778351
-0.9296875 0.4213384505787462
-0.896484375 0.4476765765530405
-0.86328125 0.4746134875542777
-0.830078125 0.5020629877261364
