X Y
-94.61737874341024 4.012675676712975e-17
-94.2477796076938 3.699363814666737e-17
-93.87818047197734 3.342460591599255e-17
-93.5085813362609 3.2326446460153376e-17
-93.13898220054446 3.332936267977917e-17
-92.769383064828 3.726350558002786e-17
-92.39978392911156 3.7325771354753374e-17
-92.03018479339512 4.585903628907964e-17
-91.66058565767867 9.312738461648614e-17
-91.29098652196222 2.7049240899300726e-16
-90.92138738624578 5.777257018694806e-16
-90.55178825052933 1.4654712188876027e-15
-90.18218911481289 1.3717104147241617e-15
-89.81258997909644 3.5219940573096573e-15
-89.44299084337999 3.470013721243493e-15
-89.07339170766355 1.7823006839939985e-14
-88.7037925719471 1.381541451141812e-12
-88.33419343623066 1.9763839466660294e-13
-87.96459430051421 7.621851040313177e-11
-87.59499516479777 1.468428907304586e-10
-87.22539602908131 8.723474038728532e-10
-86.85579689336487 1.0147566592861747e-09
-86.48619775764843 1.4191621124054584e-09
-86.11659862193198 2.9489363634772595e-09
-85.74699948621553 6.416098927429454e-10
-85.37740035049909 2.0213078036132354e-11
-85.00780121478265 4.203011307122992e-12
-84.63820207906619 1.787257119765192e-12
-84.26860294334975 8.350678306807564e-13
-83.8990038076333 2.573086381748834e-14
-83.52940467191685 2.0464339235096533e-15
-83.15980553620041 1.5975047365220666e-15
-82.79020640048397 1.1899594743136111e-15
-82.42060726476751 7.432071039492323e-16
-82.05100812905107 5.008844392657898e-16
-81.68140899333463 3.1629573498076157e-16
-81.31180985761817 2.2018177968110545e-16
-80.94221072190173 1.552683437364546e-16
-80.57261158618529 1.2061434477516186e-16
-80.20301245046883 1.1241053237405295e-16
-79.83341331475239 1.3784579847459666e-16
-79.46381417903595 2.3254638723114335e-16
-79.0942150433195 4.4137993291324375e-16
-78.72461590760305 8.091346054294989e-16
-78.35501677188661 1.388947765132051e-15
-77.98541763617015 2.1605373518326622e-15
-77.61581850045371 2.9614698421311606e-15
-77.24621936473727 3.632034359389029e-15
-76.87662022902083 3.663877026716764e-15
-76.50702109330437 2.7808647268650505e-15
-76.13742195758793 1.1991880360727718e-15
-75.76782282187148 9.68089885968787e-16
-75.39822368615503 7.723942397729894e-15
-75.0286245504386 3.7570060859753866e-14
-74.65902541472215 1.2503999597486996e-13
-74.2894262790057 3.701132865369804e-13
-73.91982714328925 4.43197797914525e-13
-73.5502280075728 1.228998013282059e-12
-73.18062887185636 2.318136859985898e-11
-72.81102973613991 2.11232942896169e-10
-72.44143060042347 1.1943679628122754e-10
-72.07183146470702 2.258718293317127e-09
-71.70223232899058 1.5382441777397193e-09
-71.33263319327412 1.282577714054807e-08
-70.96303405755768 1.958146551399997e-08
-70.59343492184124 1.1519736192649839e-08
-70.2238357861248 8.799488395071575e-09
-69.85423665040834 2.037912624672034e-09
-69.4846375146919 7.450558382224368e-10
-69.11503837897546 1.4579224485380555e-09
-68.745439243259 4.6484967550060883e-10
-68.37584010754256 1.9925592324304238e-11
-68.00624097182612 2.2970969847583335e-13
-67.63664183610966 5.079300386834246e-13
-67.26704270039322 1.493355905730939e-13
-66.89744356467678 6.784297663467115e-14
-66.52784442896032 5.145383140659076e-15
-66.15824529324388 7.214504936913487e-15
-65.78864615752744 8.281451286271887e-15
-65.419047021811 1.0358555782131405e-14
-65.04944788609454 1.2003173775963043e-14
-64.6798487503781 1.269037373538246e-14
-64.31024961466164 1.162416615770757e-14
-63.9406504789452 9.621194187333466e-15
-63.57105134322876 6.784025111179486e-15
-63.20145220751231 4.068712442539783e-15
-62.83185307179586 2.2882068031345297e-15
-62.46225393607942 1.7990066281320565e-15
-62.09265480036297 2.6529423195414025e-15
-61.72305566464652 3.749775289024123e-15
-61.35345652893008 4.320336449968574e-15
-60.98385739321363 4.9142563349949175e-15
-60.614258257497184 1.4573257446005044e-14
-60.24465912178074 5.5457193321731655e-14
-59.875059986064294 1.8122285264647227e-13
-59.505460850347845 4.851945055290968e-13
-59.1358617146314 1.1240885887832696e-12
-58.766262578914954 2.2369596964107446e-12
-58.396663443198506 4.180073713171778e-12
-58.027064307482064 6.833210140434296e-12
-57.657465171765615 1.0655240172192762e-11
-57.287866036049174 1.495498318818928e-11
-56.918266900332725 1.843083086133493e-11
-56.548667764616276 2.071060197368235e-11
-56.179068628899834 1.829841647566847e-11
-55.809469493183386 1.0922621840248432e-11
-55.43987035746694 2.535210266550378e-12
-55.070271221750495 3.248299294983246e-12
-54.70067208603405 4.3040483062463796e-11
-54.3310729503176 2.0278639805521305e-10
-53.961473814601156 5.810493844374917e-10
-53.59187467888471 1.2825230486020906e-09
-53.22227554316826 3.7036677711688315e-09
-52.85267640745182 5.244270638212117e-09
-52.48307727173537 4.54340865197497e-09
-52.11347813601892 1.3043456935734844e-07
-51.74387900030248 3.195370443167097e-07
-51.37427986458603 1.3084599618879554e-06
-51.00468072886958 1.7289108701954042e-07
-50.63508159315314 4.138203693635636e-06
-50.26548245743669 9.772022022363015e-05
-49.89588332172025 1.2731323837273479e-05
-49.5262841860038 9.919319528889951e-06
-49.15668505028735 6.949711858129674e-07
-48.78708591457091 2.7813800300938423e-06
-48.41748677885446 1.1471541415510051e-05
-48.04788764313801 2.3945087478466405e-06
-47.67828850742157 2.9730690293765646e-07
-47.30868937170512 1.432722423403614e-07
-46.93909023598867 5.368546944250274e-08
-46.56949110027223 5.21689829484391e-09
-46.19989196455578 2.8445387236105634e-09
-45.83029282883933 3.477853005877283e-09
-45.46069369312289 3.0683945884276214e-10
-45.09109455740644 2.550316411220236e-10
-44.721495421689994 3.39728896300913e-11
-44.35189628597355 1.525661266442563e-12
-43.982297150257104 4.8330642316136515e-12
-43.61269801454066 1.612671259788893e-11
-43.24309887882421 2.303312428164434e-11
-42.873499743107764 2.5112969921147554e-11
-42.50390060739132 2.297021949519158e-11
-42.134301471674874 1.7971970649818882e-11
-41.764702335958425 1.303795920174782e-11
-41.395103200241984 8.604071035813423e-12
-41.025504064525535 5.295498134669071e-12
-40.655904928809086 2.9855692614536365e-12
-40.286305793092644 1.5823334263199974e-12
-39.916706657376196 7.453582223218388e-13
-39.54710752165975 3.1105665438403657e-13
-39.177508385943305 1.0260129169093898e-13
-38.80790925022686 2.4625623619139555e-14
-38.43831011451041 1.81709507752307e-15
-38.068710978793966 9.397009122128001e-16
-37.69911184307752 4.431917828612063e-15
-37.32951270736107 6.5175503648046925e-15
-36.95991357164463 6.581146030875045e-15
-36.59031443592818 5.290806721919193e-15
-36.22071530021174 3.701666248386895e-15
-35.85111616449529 2.3181978077133743e-15
-35.48151702877884 1.3425750030516646e-15
-35.1119178930624 7.549523053720447e-16
-34.74231875734595 4.3755822934536775e-16
-34.3727196216295 2.644424550979495e-16
-34.00312048591306 1.4831508543094129e-16
-33.63352135019661 6.867046952286939e-17
-33.26392221448016 2.7299061422846244e-17
-32.89432307876372 5.572453082199265e-17
-32.52472394304727 1.7767155654855896e-16
-32.15512480733082 3.806605740824642e-16
-31.78552567161438 6.368390720485389e-16
-31.41592653589793 8.639358839119703e-16
-31.046327400181482 1.022183788496613e-15
-30.67672826446504 1.1562657106870376e-15
-30.3071291287486 1.66381282073231e-15
-29.937529993032143 3.575555350626712e-15
-29.5679308573157 9.136790927117707e-15
-29.19833172159926 2.2563886945568315e-14
-28.828732585882804 5.104193974883528e-14
-28.459133450166362 1.0581305780977089e-13
-28.08953431444992 2.0297525452555738e-13
-27.719935178733465 3.637610139160182e-13
-27.350336043017023 6.124616343672303e-13
-26.98073690730058 9.72746083517233e-13
-26.611137771584126 1.4580158525797341e-12
-26.241538635867684 2.0594319352796216e-12
-25.871939500151242 2.725612195420625e-12
-25.502340364434787 3.35919056246285e-12
-25.132741228718345 3.7951075843290445e-12
-24.763142093001903 3.8786915195586795e-12
-24.393542957285447 3.537004758438737e-12
-24.023943821569006 3.139113713121611e-12
-23.654344685852564 3.931391638682628e-12
-23.28474555013611 8.900003340963326e-12
-22.915146414419667 2.4172085861440983e-11
-22.545547278703225 6.085103104256899e-11
-22.17594814298677 1.3742026824294507e-10
-21.806349007270327 2.8144595709859663e-10
-21.436749871553886 5.28190433279241e-10
-21.06715073583743 9.313923118184006e-10
-20.69755160012099 1.5528792652038538e-09
-20.327952464404547 2.4156945676530424e-09
-19.958353328688105 3.5905569581579e-09
-19.58875419297165 5.184307744649779e-09
-19.219155057255207 7.0156965794338405e-09
-18.849555921538766 8.257037321542539e-09
-18.47995678582231 8.958972075055462e-09
-18.11035765010587 1.053052692239738e-08
-17.740758514389427 8.51457545099394e-09
-17.37115937867297 7.917799637114974e-09
-17.00156024295653 5.821813042488707e-09
-16.631961107240087 1.8361835468578997e-08
-16.26236197152363 4.731948594702122e-08
-15.89276283580719 1.0356937317118918e-07
-15.523163700090748 2.4261598203287596e-07
-15.153564564374292 5.821972992767968e-07
-14.78396542865785 1.038892852147284e-06
-14.41436629294141 1.98027398818855e-06
-14.044767157224953 3.316040143312957e-06
-13.675168021508512 4.7891754026067375e-06
-13.30556888579207 6.417467220146732e-06
-12.935969750075614 1.0568843430687784e-05
-12.566370614359172 1.1746173062588116e-05
-12.19677147864273 1.6985223288360997e-05
-11.827172342926275 1.8181535605360262e-05
-11.457573207209833 1.6684049513600757e-05
-11.087974071493392 2.148101948627608e-05
-10.718374935776936 2.1504432090292592e-05
-10.348775800060494 2.2148047060060166e-05
