X Y
-50.0 3.478710962049445e-33
-49.8046875 1.0005468469046611e-28
-49.609375 1.6286628982123086e-28
-49.4140625 5.026737340161447e-29
-49.21875 3.667431031740626e-30
-49.0234375 5.205717019158892e-29
-48.828125 3.7128282097953735e-29
-48.6328125 2.0124342915456038e-30
-48.4375 3.394569640654874e-30
-48.2421875 1.3049514496387985e-30
-48.046875 7.58815570540548e-30
-47.8515625 1.419759782358186e-29
-47.65625 5.679675081280496e-31
-47.4609375 1.7662723468114465e-29
-47.265625 4.6358254339594255e-29
-47.0703125 2.3325073150481862e-29
-46.875 5.845535960322496e-33
-46.6796875 1.7435815925273916e-29
-46.484375 2.3033151676122658e-29
-46.2890625 5.866724800682462e-30
-46.09375 6.526702132984784e-31
-45.8984375 4.3125622685907724e-30
-45.703125 2.1085005593801498e-30
-45.5078125 6.826333292020682e-31
-45.3125 1.7300772021762817e-30
-45.1171875 2.3047780378680172e-30
-44.921875 1.1175907855438912e-30
-44.7265625 2.5936085971729323e-30
-44.53125 1.0287425848496402e-29
-44.3359375 8.505372927309066e-30
-44.140625 3.1560341921846358e-31
-43.9453125 6.501283805175837e-30
-43.75 1.6096602230119735e-29
-43.5546875 6.107746519483957e-30
-43.359375 2.175026747141882e-30
-43.1640625 1.2357264815978506e-29
-42.96875 8.094269295152587e-30
-42.7734375 1.2096274653444947e-30
-42.578125 2.4656733218854682e-29
-42.3828125 4.700031649091714e-29
-42.1875 2.2783784512551537e-29
-41.9921875 1.362568409431723e-30
-41.796875 3.3345534101532957e-29
-41.6015625 7.436331591769424e-29
-41.40625 6.281599863824663e-29
-41.2109375 2.3855524605976875e-29
-41.015625 9.826880424370723e-30
-40.8203125 2.2886540604820908e-29
-40.625 4.0641086136636785e-29
-40.4296875 5.066125678815399e-29
-40.234375 5.05892582705521e-29
-40.0390625 3.1733455365979997e-29
-39.84375 7.339671672269712e-30
-39.6484375 8.584983527051935e-30
-39.453125 4.101091080996973e-29
-39.2578125 6.470212996700898e-29
-39.0625 5.034275424850379e-29
-38.8671875 1.8467773281535015e-29
-38.671875 6.778934156573423e-30
-38.4765625 1.908541773341115e-29
-38.28125 2.5351391498943946e-29
-38.0859375 2.3578662134627058e-29
-37.890625 3.1681575338591647e-29
-37.6953125 5.102486611077942e-29
-37.5 3.8888735011511564e-29
-37.3046875 7.89046809102729e-30
-37.109375 1.8518737706237144e-29
-36.9140625 7.55651919742733e-29
-36.71875 8.76017678277341e-29
-36.5234375 2.7659626531043923e-29
-36.328125 4.841839338660059e-30
-36.1328125 8.86202780933326e-29
-35.9375 1.7539665778530393e-28
-35.7421875 1.5419469544284731e-28
-35.546875 7.066105864595213e-29
-35.3515625 4.3411870747473156e-29
-35.15625 9.385087601194234e-29
-34.9609375 1.3993256405366316e-28
-34.765625 1.2388017282685933e-28
-34.5703125 5.937999588598017e-29
-34.375 1.785630368792078e-29
-34.1796875 9.285054667693314e-30
-33.984375 9.26247181754097e-30
-33.7890625 2.6049469767261245e-30
-33.59375 5.479106973799372e-30
-33.3984375 2.4113817395787853e-29
-33.203125 3.633730985150852e-29
-33.0078125 2.5554197045289085e-29
-32.8125 1.8930684673070395e-29
-32.6171875 4.630153050899155e-29
-32.421875 9.373348388365507e-29
-32.2265625 1.1397569604210864e-28
-32.03125 7.977546777655762e-29
-31.8359375 2.710919601506328e-29
-31.640625 6.042625014708754e-30
-31.4453125 2.339649397899328e-29
-31.25 4.785022133245564e-29
-31.0546875 4.5331293475644875e-29
-30.859375 2.1651307131049238e-29
-30.6640625 2.7614234625014407e-30
-30.46875 1.6965621583048895e-30
-30.2734375 1.1860177547336464e-29
-30.078125 1.9142683620180403e-29
-29.8828125 1.7153336899844185e-29
-29.6875 9.829642806796822e-30
-29.4921875 2.3474622540658103e-30
-29.296875 1.1397526667897122e-30
-29.1015625 9.035257625249557e-30
-28.90625 1.9159799137126692e-29
-28.7109375 2.3360115939229984e-29
-28.515625 1.6629819998007406e-29
-28.3203125 6.06636513204511e-30
-28.125 7.0897316887746315e-31
-27.9296875 8.894339126316148e-31
-27.734375 1.9295332932016897e-30
-27.5390625 1.1959980776877344e-30
-27.34375 1.040445103455514e-30
-27.1484375 4.507144469820407e-30
-26.953125 1.0942711924030134e-29
-26.7578125 1.8248439459399182e-29
-26.5625 2.3367300156709222e-29
-26.3671875 2.661976830713678e-29
-26.171875 2.886947207155366e-29
-25.9765625 3.1313859872007006e-29
-25.78125 3.207431947785595e-29
-25.5859375 2.871703372400948e-29
-25.390625 2.4046216249184055e-29
-25.1953125 1.8565629540839403e-29
-25.0 1.6065702263291445e-29
-24.8046875 1.73546222311608e-29
-24.609375 1.7662167904323274e-29
-24.4140625 1.587778159712931e-29
-24.21875 1.2724264877270973e-29
-24.0234375 8.001194781739059e-30
-23.828125 4.569736016315609e-30
-23.6328125 2.764933698563112e-30
-23.4375 4.8296415756988625e-30
-23.2421875 9.786132047201565e-30
-23.046875 1.595816350087339e-29
